gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7458335;Abborrbo;82125;Abborrbo;Abborrbo;;;;;
7410004;Adolfsfors;30001;Adolfsfors;Adolfsfors;;;;;
7422223;Agen;81002;Agen;Agen;;;;;
7457964;Agetorp;81003;Agetorp;Agetorp;;;;;
7404327;Alkvettern korsväg;60000;Alkvettern korsvägen;Alkvettern korsvägen;;;;;
7425006;Almar;80021;Almar;Almar;;;;;
7457793;Almarslätten;80436;Almarslätten;Almarslätten;;;;;
7422288;Alstakan;84002;Allstakan;Allstakan;;;;;
7434460;Alster;80604;Alster;Alster;;;;;
7422224;Alster Lantmännen;80438;Alster Lantmännen;Alster Lantmännen;;;;;
7457061;Ambjörby Folkets hus;37003;Ambjörby Folkets hus;Ambjörby Folkets hus;;;;;
7404321;Ambjörby ICA Skogsstjärnan;37001;Ambjörby Skogsstjärnan;Ambjörby Skogsstjärnan;;;;;
7457062;Ambjörby Kiosken;37004;Ambjörby Kiosken;Ambjörby Kiosken;;;;;
7457063;Amnerud;37005;Amnerud;Amnerud;;;;;
7420187;Anneberg;81004;Anneberg (Ölme);Anneberg (Ölme);;;;;
7424633;Annefors;66000;Annefors;Annefors;;;;;
7456929;Aplungstorp;15001;Aplungstorp;Aplungstorp;;;;;
7456997;Arvika Agnetebergsskola;84380;Arvika Agnetebergsskolan;Arvika Agnetebergsskolan;;;;;
7458781;Arvika Bergsgatan;84368;Arvika Bergsgatan;Arvika Bergsgatan;;;;;
7458545;Arvika Bergtrollet;84083;Arvika Bergtrollet;Arvika Bergtrollet;;;;;
7458473;Arvika Björknäs;84008;Arvika Björknäs;Arvika Björknäs;;;;;
7458762;Arvika Björkudden;84349;Arvika Björkudden;Arvika Björkudden;;;;;
7458474;Arvika Björns väg;84009;Arvika Björns väg;Arvika Björns väg;;;;;
7458765;Arvika Blåsutvägen;84352;Arvika Blåsutvägen;Arvika Blåsutvägen;;;;;
7458475;Arvika Blästervägen;84010;Arvika Blästervägen;Arvika Blästervägen;;;;;
7458505;Arvika Brandstation;84041;Arvika Brandstation;Arvika Brandstation;;;;;
7410040;Arvika busstation;84004;Arvika busstation;Arvika busstation;;;;;
7458784;Arvika Båthamnen;84371;Arvika Båthamnen;Arvika Båthamnen;;;;;
7458691;Arvika Chr Erikssonsväg;84282;Arvika Chr Erikssonsväg 21;Arvika Chr Erikssonsväg 21;;;;;
7458701;Arvika Chr Erikssonsväg;84291;Arvika Chr Erikssonsväg 33;Arvika Chr Erikssonsväg 33;;;;;
7458706;Arvika Chr Erikssonsväg;84269;Arvika Chr Erikssonsväg 5;Arvika Chr Erikssonsväg 5;;;;;
7458772;Arvika Degerängsvägen 1;84359;Arvika Degerängsvägen 13;Arvika Degerängsvägen 13;;;;;
7458480;Arvika Dottevik;84015;Arvika Dottevik;Arvika Dottevik;;;;;
7458596;Arvika Dotteviksskolan;84148;Arvika Dotteviksskolan;Arvika Dotteviksskolan;;;;;
7458481;Arvika Dungen;84016;Arvika Dungen;Arvika Dungen;;;;;
7458738;Arvika Fallängsvägen 15;84325;Arvika Fallängsvägen 15;Arvika Fallängsvägen 15;;;;;
7458771;Arvika Fryksdalsvägen 3;84358;Arvika Fryksdalsvägen 33;Arvika Fryksdalsvägen 33;;;;;
7458487;Arvika Gatedammen;84022;Arvika Gatedammen;Arvika Gatedammen;;;;;
7458780;Arvika Glashyttegatan;84367;Arvika Glashyttegatan;Arvika Glashyttegatan;;;;;
7458470;Arvika golfbanan;84005;Arvika golfbanan;Arvika golfbanan;;;;;
